woj,pow,gmi,rgmi,nazwa,typ
12,13,2,3,Brzeszcze,gmina miejsko-wiejska
12,13,2,4,Brzeszcze,miasto
12,13,2,5,Brzeszcze,obszar wiejski
12,13,3,3,Chełmek,gmina miejsko-wiejska
12,13,3,4,Chełmek,miasto
12,13,3,5,Chełmek,obszar wiejski
12,13,4,3,Kęty,gmina miejsko-wiejska
12,13,4,4,Kęty,miasto
12,13,4,5,Kęty,obszar wiejski
12,13,5,2,Osiek,gmina wiejska
12,13,6,2,Oświęcim,gmina wiejska
12,13,7,2,Polanka Wielka,gmina wiejska
12,13,8,2,Przeciszów,gmina wiejska
12,13,9,3,Zator,gmina miejsko-wiejska
12,13,9,4,Zator,miasto
12,13,9,5,Zator,obszar wiejski
12,14,,,proszowicki,powiat
12,14,1,2,Koniusza,gmina wiejska
12,14,2,2,Koszyce,gmina wiejska
12,14,3,2,Nowe Brzesko,gmina wiejska
12,14,4,2,Pałecznica,gmina wiejska
12,14,5,3,Proszowice,gmina miejsko-wiejska
12,14,5,4,Proszowice,miasto
12,14,5,5,Proszowice,obszar wiejski
12,14,6,2,Radziemice,gmina wiejska
12,15,,,suski,powiat
12,15,1,1,Jordanów,gmina miejska
12,15,2,1,Sucha Beskidzka,gmina miejska
12,15,3,2,Budzów,gmina wiejska
12,15,4,2,Bystra-Sidzina,gmina wiejska
12,15,5,2,Jordanów,gmina wiejska
12,15,6,3,Maków Podhalański,gmina miejsko-wiejska
12,15,6,4,Maków Podhalański,miasto
12,15,6,5,Maków Podhalański,obszar wiejski
12,15,7,2,Stryszawa,gmina wiejska
12,15,8,2,Zawoja,gmina wiejska
12,15,9,2,Zembrzyce,gmina wiejska
12,16,,,tarnowski,powiat
12,16,1,3,Ciężkowice,gmina miejsko-wiejska
12,16,1,4,Ciężkowice,miasto
12,16,1,5,Ciężkowice,obszar wiejski
12,16,2,2,Gromnik,gmina wiejska
12,16,3,2,Lisia Góra,gmina wiejska
12,16,4,2,Pleśna,gmina wiejska
12,16,5,3,Radłów,gmina miejsko-wiejska
12,16,5,4,Radłów,miasto
12,16,5,5,Radłów,obszar wiejski
12,16,6,3,Ryglice,gmina miejsko-wiejska
12,16,6,4,Ryglice,miasto
12,16,6,5,Ryglice,obszar wiejski
12,16,7,2,Rzepiennik Strzyżewski,gmina wiejska
12,16,8,2,Skrzyszów,gmina wiejska
12,16,9,2,Tarnów,gmina wiejska
12,16,10,3,Tuchów,gmina miejsko-wiejska
12,16,10,4,Tuchów,miasto
12,16,10,5,Tuchów,obszar wiejski
12,16,11,2,Wierzchosławice,gmina wiejska
12,16,12,2,Wietrzychowice,gmina wiejska
12,16,13,3,Wojnicz,gmina miejsko-wiejska
12,16,13,4,Wojnicz,miasto
12,16,13,5,Wojnicz,obszar wiejski
12,16,14,3,Zakliczyn,gmina miejsko-wiejska
12,16,14,4,Zakliczyn,miasto
12,16,14,5,Zakliczyn,obszar wiejski
12,16,15,3,Żabno,gmina miejsko-wiejska
12,16,15,4,Żabno,miasto
12,16,15,5,Żabno,obszar wiejski
12,16,16,2,Szerzyny,gmina wiejska
12,17,,,tatrzański,powiat
12,17,1,1,Zakopane,gmina miejska
12,17,2,2,Biały Dunajec,gmina wiejska
12,17,3,2,Bukowina Tatrzańska,gmina wiejska
12,17,4,2,Kościelisko,gmina wiejska
12,17,5,2,Poronin,gmina wiejska
12,18,,,wadowicki,powiat
12,18,1,3,Andrychów,gmina miejsko-wiejska
12,18,1,4,Andrychów,miasto
12,18,1,5,Andrychów,obszar wiejski
12,18,2,2,Brzeźnica,gmina wiejska
12,18,3,3,Kalwaria Zebrzydowska,gmina miejsko-wiejska
12,18,3,4,Kalwaria Zebrzydowska,miasto
12,18,3,5,Kalwaria Zebrzydowska,obszar wiejski
12,18,4,2,Lanckorona,gmina wiejska
12,18,5,2,Mucharz,gmina wiejska
12,18,6,2,Spytkowice,gmina wiejska
12,18,7,2,Stryszów,gmina wiejska
12,18,8,2,Tomice,gmina wiejska
12,18,9,3,Wadowice,gmina miejsko-wiejska
12,18,9,4,Wadowice,miasto
12,18,9,5,Wadowice,obszar wiejski
12,18,10,2,Wieprz,gmina wiejska
12,19,,,wielicki,powiat
12,19,1,2,Biskupice,gmina wiejska
12,19,2,2,Gdów,gmina wiejska
12,19,3,2,Kłaj,gmina wiejska
12,19,4,3,Niepołomice,gmina miejsko-wiejska
12,19,4,4,Niepołomice,miasto
12,19,4,5,Niepołomice,obszar wiejski
12,19,5,3,Wieliczka,gmina miejsko-wiejska
12,19,5,4,Wieliczka,miasto
12,19,5,5,Wieliczka,obszar wiejski
12,61,,,Kraków,miasto na prawach powiatu
12,61,1,1,Kraków,gmina miejska
12,61,2,9,Kraków-Krowodrza,delegatura
12,61,3,9,Kraków-Nowa Huta,delegatura
12,61,4,9,Kraków-Podgórze,delegatura
12,61,5,9,Kraków-Śródmieście,delegatura
12,62,,,Nowy Sącz,miasto na prawach powiatu
12,62,1,1,Nowy Sącz,gmina miejska
12,63,,,Tarnów,miasto na prawach powiatu
12,63,1,1,Tarnów,gmina miejska
